true_disease,predicted_disease,error_count
drug eruption,sarcoidosis,1
drug eruption,scabies,1
drug eruption,seborrheic dermatitis,1
drug induced pigmentary changes,calcinosis cutis,1
urticaria,pityriasis lichenoides chronica,1
drug induced pigmentary changes,drug eruption,1
drug induced pigmentary changes,halo nevus,1
drug induced pigmentary changes,lichen planus,1
drug induced pigmentary changes,lupus erythematosus,1
drug induced pigmentary changes,scleroderma,1
drug induced pigmentary changes,urticaria pigmentosa,1
dyshidrotic eczema,actinic keratosis,1
dyshidrotic eczema,basal cell carcinoma,1
dyshidrotic eczema,erythema multiforme,1
dyshidrotic eczema,granuloma annulare,1
dyshidrotic eczema,nematode infection,1
dyshidrotic eczema,papilomatosis confluentes and reticulate,1
dyshidrotic eczema,pityriasis rubra pilaris,1
dyshidrotic eczema,scabies,1
drug induced pigmentary changes,cheilitis,1
dariers disease,keratosis pilaris,1
dariers disease,lichen planus,1
dariers disease,lymphangioma,1
dariers disease,pilar cyst,1
dariers disease,psoriasis,1
dariers disease,seborrheic dermatitis,1
dariers disease,syringoma,1
dariers disease,xeroderma pigmentosum,1
dermatofibroma,actinic keratosis,1
dermatofibroma,erythema multiforme,1
dermatofibroma,folliculitis,1
dermatofibroma,lupus erythematosus,1
dermatofibroma,malignant melanoma,1
dermatofibroma,pityriasis lichenoides chronica,1
drug eruption,ehlers danlos syndrome,1
dermatomyositis,eczema,1
dermatomyositis,erythema nodosum,1
dermatomyositis,fixed eruptions,1
dermatomyositis,folliculitis,1
dermatomyositis,lupus erythematosus,1
dermatomyositis,lupus subacute,1
dermatomyositis,paronychia,1
dermatomyositis,pityriasis rubra pilaris,1
dermatomyositis,psoriasis,1
dermatomyositis,rosacea,1
dermatomyositis,telangiectases,1
disseminated actinic porokeratosis,incontinentia pigmenti,1
disseminated actinic porokeratosis,pityriasis lichenoides chronica,1
drug eruption,acne vulgaris,1
dermatofibroma,pyogenic granuloma,1
epidermolysis bullosa,pyogenic granuloma,1
epidermolysis bullosa,xeroderma pigmentosum,1
erythema annulare centrifigum,drug eruption,1
erythema annulare centrifigum,lyme disease,1
erythema annulare centrifigum,mycosis fungoides,1
erythema annulare centrifigum,urticaria,1
erythema elevatum diutinum,basal cell carcinoma,1
erythema elevatum diutinum,mucinosis,1
erythema elevatum diutinum,pityriasis rubra pilaris,1
erythema elevatum diutinum,psoriasis,1
erythema multiforme,congenital nevus,1
erythema multiforme,drug eruption,1
erythema multiforme,folliculitis,1
erythema multiforme,lupus subacute,1
eczema,actinic keratosis,1
erythema multiforme,pilar cyst,1
