skin_tone_group,true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
Light,86,psoriasis,28,erythema multiforme,2
Light,86,psoriasis,48,lichen planus,2
Light,87,pustular psoriasis,60,mycosis fungoides,2
Light,88,pyogenic granuloma,25,epidermolysis bullosa,2
Light,88,pyogenic granuloma,35,granuloma pyogenic,2
Light,91,sarcoidosis,1,acne,2
Light,91,sarcoidosis,28,erythema multiforme,2
Light,92,scabies,6,allergic contact dermatitis,2
Light,93,scleroderma,29,erythema nodosum,2
Light,93,scleroderma,48,lichen planus,2
Light,93,scleroderma,53,lyme disease,2
Light,93,scleroderma,73,pediculosis lids,2
Light,93,scleroderma,75,photodermatoses,2
Light,98,squamous cell carcinoma,32,folliculitis,2
Light,98,squamous cell carcinoma,86,psoriasis,2
Light,98,squamous cell carcinoma,88,pyogenic granuloma,2
Light,109,urticaria,79,pityriasis rosea,2
Light,109,urticaria,93,scleroderma,2
Light,110,urticaria pigmentosa,28,erythema multiforme,2
Light,110,urticaria pigmentosa,45,langerhans cell histiocytosis,2
Light,0,acanthosis nigricans,60,mycosis fungoides,1
Light,1,acne,8,basal cell carcinoma,1
Light,1,acne,22,eczema,1
Light,1,acne,31,fixed eruptions,1
Light,1,acne,57,milia,1
Light,1,acne,74,perioral dermatitis,1
Light,1,acne,86,psoriasis,1
Light,2,acne vulgaris,75,photodermatoses,1
Light,2,acne vulgaris,105,telangiectases,1
Light,2,acne vulgaris,106,tick bite,1
Light,2,acne vulgaris,107,tuberous sclerosis,1
Light,3,acquired autoimmune bullous diseaseherpes gestationis,29,erythema nodosum,1
Light,3,acquired autoimmune bullous diseaseherpes gestationis,32,folliculitis,1
Light,3,acquired autoimmune bullous diseaseherpes gestationis,41,juvenile xanthogranuloma,1
Light,3,acquired autoimmune bullous diseaseherpes gestationis,52,lupus subacute,1
Light,4,acrodermatitis enteropathica,6,allergic contact dermatitis,1
Light,4,acrodermatitis enteropathica,14,congenital nevus,1
Light,4,acrodermatitis enteropathica,17,dermatomyositis,1
Light,4,acrodermatitis enteropathica,32,folliculitis,1
Light,4,acrodermatitis enteropathica,90,rosacea,1
Light,5,actinic keratosis,6,allergic contact dermatitis,1
Light,5,actinic keratosis,17,dermatomyositis,1
Light,5,actinic keratosis,45,langerhans cell histiocytosis,1
Light,5,actinic keratosis,48,lichen planus,1
Light,5,actinic keratosis,60,mycosis fungoides,1
Light,5,actinic keratosis,85,prurigo nodularis,1
Light,5,actinic keratosis,86,psoriasis,1
Light,5,actinic keratosis,93,scleroderma,1
Light,5,actinic keratosis,98,squamous cell carcinoma,1
Light,6,allergic contact dermatitis,5,actinic keratosis,1
Light,6,allergic contact dermatitis,10,becker nevus,1
Light,6,allergic contact dermatitis,22,eczema,1
Light,6,allergic contact dermatitis,28,erythema multiforme,1
Light,6,allergic contact dermatitis,32,folliculitis,1
Light,6,allergic contact dermatitis,53,lyme disease,1
Light,6,allergic contact dermatitis,55,malignant melanoma,1
Light,6,allergic contact dermatitis,56,melanoma,1
Light,6,allergic contact dermatitis,60,mycosis fungoides,1
Light,6,allergic contact dermatitis,63,necrobiosis lipoidica,1
Light,6,allergic contact dermatitis,68,neutrophilic dermatoses,1
Light,6,allergic contact dermatitis,73,pediculosis lids,1
Light,6,allergic contact dermatitis,84,port wine stain,1
Light,6,allergic contact dermatitis,92,scabies,1
Light,7,aplasia cutis,28,erythema multiforme,1
Light,7,aplasia cutis,41,juvenile xanthogranuloma,1
Light,7,aplasia cutis,73,pediculosis lids,1
Light,7,aplasia cutis,75,photodermatoses,1
Light,7,aplasia cutis,92,scabies,1
Light,8,basal cell carcinoma,9,basal cell carcinoma morpheiform,1
Light,8,basal cell carcinoma,15,dariers disease,1
Light,8,basal cell carcinoma,40,incontinentia pigmenti,1
Light,8,basal cell carcinoma,45,langerhans cell histiocytosis,1
Light,8,basal cell carcinoma,51,lupus erythematosus,1
Light,8,basal cell carcinoma,56,melanoma,1
Light,8,basal cell carcinoma,68,neutrophilic dermatoses,1
Light,9,basal cell carcinoma morpheiform,7,aplasia cutis,1
Light,9,basal cell carcinoma morpheiform,46,lentigo maligna,1
Light,9,basal cell carcinoma morpheiform,52,lupus subacute,1
Light,9,basal cell carcinoma morpheiform,96,seborrheic keratosis,1
Light,10,becker nevus,66,neurofibromatosis,1
Light,10,becker nevus,78,pityriasis lichenoides chronica,1
Light,11,behcets disease,48,lichen planus,1
Light,11,behcets disease,100,stevens johnson syndrome,1
Light,12,calcinosis cutis,5,actinic keratosis,1
Light,12,calcinosis cutis,50,livedo reticularis,1
Light,12,calcinosis cutis,52,lupus subacute,1
Light,12,calcinosis cutis,69,nevocytic nevus,1
Light,12,calcinosis cutis,94,scleromyxedema,1
Light,12,calcinosis cutis,98,squamous cell carcinoma,1
Light,13,cheilitis,6,allergic contact dermatitis,1
Light,13,cheilitis,33,fordyce spots,1
Light,13,cheilitis,51,lupus erythematosus,1
Light,13,cheilitis,66,neurofibromatosis,1
Light,14,congenital nevus,32,folliculitis,1
Light,14,congenital nevus,98,squamous cell carcinoma,1
Light,15,dariers disease,5,actinic keratosis,1
Light,15,dariers disease,18,disseminated actinic porokeratosis,1
Light,15,dariers disease,19,drug eruption,1
Light,15,dariers disease,22,eczema,1
Light,15,dariers disease,28,erythema multiforme,1
Light,15,dariers disease,33,fordyce spots,1
Light,15,dariers disease,48,lichen planus,1
Light,15,dariers disease,92,scabies,1
Light,16,dermatofibroma,5,actinic keratosis,1
Light,16,dermatofibroma,51,lupus erythematosus,1
Light,16,dermatofibroma,55,malignant melanoma,1
Light,16,dermatofibroma,88,pyogenic granuloma,1
Light,17,dermatomyositis,22,eczema,1
Light,17,dermatomyositis,29,erythema nodosum,1
Light,17,dermatomyositis,31,fixed eruptions,1
Light,17,dermatomyositis,32,folliculitis,1
Light,17,dermatomyositis,52,lupus subacute,1
Light,17,dermatomyositis,72,paronychia,1
Light,17,dermatomyositis,86,psoriasis,1
Light,17,dermatomyositis,105,telangiectases,1
Light,18,disseminated actinic porokeratosis,40,incontinentia pigmenti,1
Light,18,disseminated actinic porokeratosis,78,pityriasis lichenoides chronica,1
Light,19,drug eruption,50,livedo reticularis,1
Light,19,drug eruption,53,lyme disease,1
Light,19,drug eruption,60,mycosis fungoides,1
Light,19,drug eruption,75,photodermatoses,1
Light,19,drug eruption,77,pilomatricoma,1
Light,19,drug eruption,87,pustular psoriasis,1
Light,19,drug eruption,91,sarcoidosis,1
Light,20,drug induced pigmentary changes,13,cheilitis,1
Light,20,drug induced pigmentary changes,19,drug eruption,1
Light,20,drug induced pigmentary changes,48,lichen planus,1
Light,20,drug induced pigmentary changes,110,urticaria pigmentosa,1
Light,21,dyshidrotic eczema,28,erythema multiforme,1
Light,21,dyshidrotic eczema,34,granuloma annulare,1
Light,21,dyshidrotic eczema,64,nematode infection,1
Light,21,dyshidrotic eczema,71,papilomatosis confluentes and reticulate,1
Light,21,dyshidrotic eczema,92,scabies,1
Light,22,eczema,5,actinic keratosis,1
Light,22,eczema,23,ehlers danlos syndrome,1
Light,22,eczema,39,ichthyosis vulgaris,1
Light,22,eczema,48,lichen planus,1
Light,22,eczema,60,mycosis fungoides,1
Light,22,eczema,71,papilomatosis confluentes and reticulate,1
Light,22,eczema,75,photodermatoses,1
Light,22,eczema,86,psoriasis,1
Light,22,eczema,91,sarcoidosis,1
Light,22,eczema,93,scleroderma,1
Light,22,eczema,99,stasis edema,1
Light,23,ehlers danlos syndrome,56,melanoma,1
Light,23,ehlers danlos syndrome,86,psoriasis,1
Light,24,epidermal nevus,6,allergic contact dermatitis,1
Light,24,epidermal nevus,40,incontinentia pigmenti,1
Light,24,epidermal nevus,64,nematode infection,1
Light,24,epidermal nevus,70,nevus sebaceous of jadassohn,1
Light,24,epidermal nevus,86,psoriasis,1
Light,24,epidermal nevus,98,squamous cell carcinoma,1
Light,25,epidermolysis bullosa,13,cheilitis,1
Light,25,epidermolysis bullosa,28,erythema multiforme,1
Light,25,epidermolysis bullosa,33,fordyce spots,1
Light,25,epidermolysis bullosa,64,nematode infection,1
Light,25,epidermolysis bullosa,86,psoriasis,1
Light,26,erythema annulare centrifigum,19,drug eruption,1
Light,26,erythema annulare centrifigum,109,urticaria,1
Light,27,erythema elevatum diutinum,58,mucinosis,1
Light,27,erythema elevatum diutinum,86,psoriasis,1
Light,28,erythema multiforme,19,drug eruption,1
Light,28,erythema multiforme,44,keratosis pilaris,1
Light,28,erythema multiforme,52,lupus subacute,1
Light,28,erythema multiforme,53,lyme disease,1
Light,28,erythema multiforme,86,psoriasis,1
Light,28,erythema multiforme,101,striae,1
Light,29,erythema nodosum,40,incontinentia pigmenti,1
Light,29,erythema nodosum,91,sarcoidosis,1
Light,30,factitial dermatitis,32,folliculitis,1
Light,30,factitial dermatitis,63,necrobiosis lipoidica,1
Light,30,factitial dermatitis,75,photodermatoses,1
Light,30,factitial dermatitis,91,sarcoidosis,1
Light,31,fixed eruptions,0,acanthosis nigricans,1
Light,31,fixed eruptions,8,basal cell carcinoma,1
Light,31,fixed eruptions,28,erythema multiforme,1
Light,31,fixed eruptions,32,folliculitis,1
Light,31,fixed eruptions,86,psoriasis,1
