true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
35,granuloma pyogenic,73,pediculosis lids,1
35,granuloma pyogenic,75,photodermatoses,1
48,lichen planus,64,nematode infection,1
36,hailey hailey disease,8,basal cell carcinoma,1
36,hailey hailey disease,38,hidradenitis,1
36,hailey hailey disease,51,lupus erythematosus,1
36,hailey hailey disease,68,neutrophilic dermatoses,1
36,hailey hailey disease,95,seborrheic dermatitis,1
37,halo nevus,31,fixed eruptions,1
38,hidradenitis,1,acne,1
15,dariers disease,44,keratosis pilaris,1
38,hidradenitis,31,fixed eruptions,1
38,hidradenitis,51,lupus erythematosus,1
38,hidradenitis,60,mycosis fungoides,1
38,hidradenitis,64,nematode infection,1
38,hidradenitis,86,psoriasis,1
38,hidradenitis,92,scabies,1
36,hailey hailey disease,2,acne vulgaris,1
31,fixed eruptions,11,behcets disease,1
31,fixed eruptions,17,dermatomyositis,1
31,fixed eruptions,19,drug eruption,1
31,fixed eruptions,28,erythema multiforme,1
31,fixed eruptions,29,erythema nodosum,1
38,hidradenitis,17,dermatomyositis,1
56,melanoma,39,ichthyosis vulgaris,1
56,melanoma,42,kaposi sarcoma,1
56,melanoma,43,keloid,1
56,melanoma,52,lupus subacute,1
56,melanoma,55,malignant melanoma,1
56,melanoma,69,nevocytic nevus,1
56,melanoma,72,paronychia,1
56,melanoma,82,porokeratosis of mibelli,1
56,melanoma,107,tuberous sclerosis,1
57,milia,1,acne,1
57,milia,8,basal cell carcinoma,1
57,milia,48,lichen planus,1
35,granuloma pyogenic,56,melanoma,1
57,milia,78,pityriasis lichenoides chronica,1
57,milia,79,pityriasis rosea,1
56,melanoma,32,folliculitis,1
34,granuloma annulare,35,granuloma pyogenic,1
34,granuloma annulare,36,hailey hailey disease,1
34,granuloma annulare,39,ichthyosis vulgaris,1
34,granuloma annulare,40,incontinentia pigmenti,1
34,granuloma annulare,60,mycosis fungoides,1
34,granuloma annulare,68,neutrophilic dermatoses,1
34,granuloma annulare,75,photodermatoses,1
34,granuloma annulare,85,prurigo nodularis,1
34,granuloma annulare,113,xeroderma pigmentosum,1
57,milia,68,neutrophilic dermatoses,1
44,keratosis pilaris,92,scabies,1
44,keratosis pilaris,93,scleroderma,1
45,langerhans cell histiocytosis,70,nevus sebaceous of jadassohn,1
45,langerhans cell histiocytosis,91,sarcoidosis,1
45,langerhans cell histiocytosis,92,scabies,1
46,lentigo maligna,73,pediculosis lids,1
46,lentigo maligna,75,photodermatoses,1
46,lentigo maligna,103,superficial spreading melanoma ssm,1
