class_id,disease,support,correct,incorrect,accuracy,error_rate
98,squamous cell carcinoma,88,41,47,0.4659090909090909,0.5340909090909092
99,stasis edema,9,1,8,0.1111111111111111,0.8888888888888888
100,stevens johnson syndrome,17,5,12,0.2941176470588235,0.7058823529411764
101,striae,10,2,8,0.2,0.8
102,sun damaged skin,9,1,8,0.1111111111111111,0.8888888888888888
103,superficial spreading melanoma ssm,18,9,9,0.5,0.5
104,syringoma,18,13,5,0.7222222222222222,0.2777777777777778
105,telangiectases,18,3,15,0.1666666666666666,0.8333333333333334
106,tick bite,10,1,9,0.1,0.9
107,tuberous sclerosis,21,11,10,0.5238095238095238,0.4761904761904761
108,tungiasis,23,22,1,0.9565217391304348,0.0434782608695651
109,urticaria,23,12,11,0.5217391304347826,0.4782608695652174
110,urticaria pigmentosa,17,5,12,0.2941176470588235,0.7058823529411764
111,vitiligo,24,13,11,0.5416666666666666,0.4583333333333333
112,xanthomas,8,0,8,0.0,1.0
113,xeroderma pigmentosum,11,7,4,0.6363636363636364,0.3636363636363636
