disease,support,precision,recall,f1,class_id_for_mapping,disease_name,display_disease
class_13,15.0,0.2631578947368421,0.3333333333333333,0.2941176470588235,13,cheilitis,cheilitis
class_100,17.0,0.2777777777777778,0.2941176470588235,0.2857142857142857,100,stevens johnson syndrome,stevens johnson syndrome
class_17,21.0,0.2222222222222222,0.3809523809523809,0.2807017543859649,17,dermatomyositis,dermatomyositis
class_55,17.0,0.3076923076923077,0.2352941176470588,0.2666666666666666,55,malignant melanoma,malignant melanoma
class_75,51.0,0.2926829268292683,0.2352941176470588,0.2608695652173913,75,photodermatoses,photodermatoses
class_54,14.0,0.6666666666666666,0.1428571428571428,0.2352941176470588,54,lymphangioma,lymphangioma
class_101,10.0,0.25,0.2,0.2222222222222222,101,striae,striae
class_84,9.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,84,port wine stain,port wine stain
class_44,12.0,0.3333333333333333,0.1666666666666666,0.2222222222222222,44,keratosis pilaris,keratosis pilaris
class_105,18.0,0.3,0.1666666666666666,0.2142857142857142,105,telangiectases,telangiectases
class_96,11.0,0.25,0.1818181818181818,0.2105263157894736,96,seborrheic keratosis,seborrheic keratosis
class_70,14.0,0.4,0.1428571428571428,0.2105263157894736,70,nevus sebaceous of jadassohn,nevus sebaceous of jadassohn
class_87,8.0,0.5,0.125,0.2,87,pustular psoriasis,pustular psoriasis
class_74,9.0,0.1666666666666666,0.2222222222222222,0.1904761904761904,74,perioral dermatitis,perioral dermatitis
class_90,15.0,0.1764705882352941,0.2,0.1875,90,rosacea,rosacea
class_102,9.0,0.5,0.1111111111111111,0.1818181818181818,102,sun damaged skin,sun damaged skin
class_88,18.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,88,pyogenic granuloma,pyogenic granuloma
class_106,10.0,0.25,0.1,0.1428571428571428,106,tick bite,tick bite
class_3,10.0,0.2,0.1,0.1333333333333333,3,acquired autoimmune bullous diseaseherpes gestationis,acquired autoimmune bullous diseaseherpes gestationis
class_97,9.0,0.1666666666666666,0.1111111111111111,0.1333333333333333,97,solid cystic basal cell carcinoma,solid cystic basal cell carcinoma
class_21,11.0,0.25,0.0909090909090909,0.1333333333333333,21,dyshidrotic eczema,dyshidrotic eczema
class_9,9.0,0.1428571428571428,0.1111111111111111,0.125,9,basal cell carcinoma morpheiform,basal cell carcinoma morpheiform
class_1,27.0,0.125,0.1111111111111111,0.1176470588235294,1,acne,acne
class_22,29.0,0.0975609756097561,0.1379310344827586,0.1142857142857142,22,eczema,eczema
class_99,9.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,99,stasis edema,stasis edema
class_39,9.0,0.0833333333333333,0.1111111111111111,0.0952380952380952,39,ichthyosis vulgaris,ichthyosis vulgaris
class_52,16.0,0.0666666666666666,0.0625,0.064516129032258,52,lupus subacute,lupus subacute
class_15,22.0,0.0,0.0,0.0,15,dariers disease,dariers disease
class_25,10.0,0.0,0.0,0.0,25,epidermolysis bullosa,epidermolysis bullosa
class_20,10.0,0.0,0.0,0.0,20,drug induced pigmentary changes,drug induced pigmentary changes
class_65,11.0,0.0,0.0,0.0,65,neurodermatitis,neurodermatitis
class_112,8.0,0.0,0.0,0.0,112,xanthomas,xanthomas
