class_id,disease,support,correct,incorrect,accuracy,error_rate
99,class_99,9,1,8,0.1111111111111111,0.8888888888888888
100,class_100,17,5,12,0.29411764705882354,0.7058823529411764
101,class_101,10,2,8,0.2,0.8
102,class_102,9,1,8,0.1111111111111111,0.8888888888888888
103,class_103,18,9,9,0.5,0.5
104,class_104,18,13,5,0.7222222222222222,0.2777777777777778
105,class_105,18,3,15,0.16666666666666666,0.8333333333333334
106,class_106,10,1,9,0.1,0.9
107,class_107,21,11,10,0.5238095238095238,0.47619047619047616
108,class_108,23,22,1,0.9565217391304348,0.04347826086956519
109,class_109,23,12,11,0.5217391304347826,0.4782608695652174
110,class_110,17,5,12,0.29411764705882354,0.7058823529411764
111,class_111,24,13,11,0.5416666666666666,0.45833333333333337
112,class_112,8,0,8,0.0,1.0
113,class_113,11,7,4,0.6363636363636364,0.36363636363636365
